text,emotion,cleaned_text,text_length
i didnt feel humiliated,sadness,didnt feel humiliated,3
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,sadness,feeling hopeless damned hopeful around someone care awake,8
im grabbing a minute to post i feel greedy wrong,anger,grabbing minute post feel greedy wrong,6
i am ever feeling nostalgic about the fireplace i will know that it is still on the property,love,ever feeling nostalgic fireplace know still property,7
i am feeling grouchy,anger,feeling grouchy,2
ive been feeling a little burdened lately wasnt sure why that was,sadness,ive feeling little burdened lately wasnt sure,7
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,surprise,ive taking milligram time recommended amount ive fallen asleep lot faster also feel like funny,15
i feel as confused about life as a teenager or as jaded as a year old man,fear,feel confused life teenager jaded year old man,8
i have been with petronas for years i feel that petronas has performed well and made a huge profit,joy,petronas year feel petronas performed well made huge profit,9
i feel romantic too,love,feel romantic,2
i feel like i have to make the suffering i m seeing mean something,sadness,feel like make suffering seeing mean something,7
i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,joy,feel running divine experience expect type spiritual encounter,8
i think it s the easiest time of year to feel dissatisfied,anger,think easiest time year feel dissatisfied,6
i feel low energy i m just thirsty,sadness,feel low energy thirsty,4
i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,joy,immense sympathy general point possible proto writer trying find time write corner life sign agent let alone publishing contract feel little precious,22
i do not feel reassured anxiety is on each side,joy,feel reassured anxiety side,4
i didnt really feel that embarrassed,sadness,didnt really feel embarrassed,4
i feel pretty pathetic most of the time,sadness,feel pretty pathetic time,4
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,sadness,started feeling sentimental doll child began collection vintage barbie doll sixty,11
i now feel compromised and skeptical of the value of every unit of work i put in,fear,feel compromised skeptical value every unit work put,8
i feel irritated and rejected without anyone doing anything or saying anything,anger,feel irritated rejected without anyone anything saying anything,8
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,fear,feeling completely overwhelmed two strategy help feel grounded pour heart journal form letter god end list five thing grateful,19
i have the feeling she was amused and delighted,joy,feeling amused delighted,3
i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,joy,able help chai lifeline support encouragement great feeling glad able help,11
i already feel like i fucked up though because i dont usually eat at all in the morning,anger,already feel like fucked though dont usually eat morning,9
i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,sadness,still love wish best longer tolerate effect life fact turned bitter angry person always particularly kind people around feeling stressed,20
i feel so inhibited in someone elses kitchen like im painting on someone elses picture,sadness,feel inhibited someone elses kitchen like painting someone elses picture,10
i become overwhelmed and feel defeated,sadness,become overwhelmed feel defeated,4
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,anger,feel kinda appalled feel like need explain wide lenghth body measure etc,12
i feel more superior dead chicken or grieving child,joy,feel superior dead chicken grieving child,6
i get giddy over feeling elegant in a perfectly fitted pencil skirt,joy,get giddy feeling elegant perfectly fitted pencil skirt,8
